                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1531,                 3.5281,                 1.0974,                0.83199,                0.24717,                0.26505,                 0.1898,                 1.0425,                 1.7806,                 1.0655,              8.287e-05,              8.287e-05,              8.287e-05
                      2,                 1.0655,                 1.5151,                 1.1063,                0.75807,                0.54423,                0.59268,                0.41782,                 1.0444,                0.98102,                 1.1033,             0.00015798,             0.00015798,             0.00015798
                      3,                 1.0226,                 1.0553,                 1.0762,                0.76936,                0.75454,                0.73489,                0.52432,                 1.0224,                0.74634,                 1.0706,             0.00022483,             0.00022483,             0.00022483
                      4,                 1.0052,                0.91426,                  1.058,                0.81646,                0.76357,                0.78822,                0.57133,                 0.9677,                0.67707,                 1.0349,             0.00021288,             0.00021288,             0.00021288
                      5,                 0.9948,                0.86108,                 1.0489,                0.83639,                0.81739,                0.83713,                0.61225,                0.96134,                 0.6313,                 1.0286,             0.00021288,             0.00021288,             0.00021288
                      6,                 0.9896,                0.82547,                 1.0483,                0.92555,                0.79928,                0.85466,                0.63051,                0.94045,                0.57961,                  1.015,              0.0002005,              0.0002005,              0.0002005
                      7,                0.96845,                0.77118,                 1.0364,                0.89271,                0.83949,                0.86654,                0.64108,                0.94016,                0.56274,                  1.015,             0.00018812,             0.00018812,             0.00018812
                      8,                 0.9768,                0.75758,                 1.0408,                0.89164,                0.84241,                0.86943,                 0.6476,                0.93378,                0.54266,                 1.0092,             0.00017575,             0.00017575,             0.00017575
                      9,                0.96251,                 0.7386,                 1.0387,                0.91503,                  0.836,                0.88018,                0.63773,                0.97429,                0.55888,                 1.0201,             0.00016338,             0.00016338,             0.00016338
                     10,                0.96372,                 0.7105,                 1.0361,                 0.9236,                0.85294,                0.88991,                0.66079,                0.94146,                0.51308,                 1.0164,               0.000151,               0.000151,               0.000151
                     11,                0.93606,                0.64896,                 1.0283,                0.93201,                0.85106,                0.89199,                0.66013,                0.93148,                 0.5203,                 1.0167,             0.00013862,             0.00013862,             0.00013862
                     12,                0.93602,                0.62025,                 1.0279,                0.94144,                0.85511,                0.89922,                0.66998,                0.93775,                0.49931,                 1.0165,             0.00012625,             0.00012625,             0.00012625
                     13,                0.93302,                0.60104,                 1.0231,                0.92604,                0.87361,                0.89952,                0.67567,                0.91717,                 0.4823,                 1.0053,             0.00011387,             0.00011387,             0.00011387
                     14,                0.92468,                0.58588,                 1.0209,                0.96791,                0.85643,                0.90585,                0.67937,                0.91769,                0.47235,                  1.004,              0.0001015,              0.0001015,              0.0001015
                     15,                0.91916,                0.57165,                 1.0194,                0.95511,                0.86401,                0.90364,                0.67957,                0.91592,                0.46749,                 1.0045,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     16,                0.90866,                0.56088,                 1.0152,                0.96022,                0.86411,                0.90651,                0.68138,                0.91118,                 0.4594,                 1.0084,              7.675e-05,              7.675e-05,              7.675e-05
                     17,                0.90389,                0.55022,                 1.0137,                0.96405,                0.86446,                0.91333,                0.68865,                0.91344,                0.45375,                 1.0062,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     18,                0.90244,                0.54172,                 1.0108,                0.96856,                0.87103,                0.90988,                0.68747,                 0.9064,                0.45035,                 1.0028,                5.2e-05,                5.2e-05,                5.2e-05
                     19,                0.89755,                0.53061,                 1.0087,                0.96694,                0.87538,                0.91213,                0.68908,                0.89986,                0.44576,                0.99996,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     20,                0.89402,                 0.5265,                 1.0053,                0.96931,                 0.8827,                0.91311,                0.68882,                0.90166,                0.43968,                0.99669,              2.725e-05,              2.725e-05,              2.725e-05
