                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.236,                 1.4781,                 1.1129,                 0.7574,                0.94305,                0.87565,                0.52989,                 1.1928,                  1.387,                 1.0893,             0.00066505,             0.00066505,             0.00066505
                      2,                 1.2269,                0.81603,                 1.1029,                0.76868,                0.95652,                0.77417,                0.47727,                 1.2087,                 1.2897,                 1.0846,              0.0012658,              0.0012658,              0.0012658
                      3,                 1.2096,                0.72361,                 1.0986,                0.77044,                 0.9611,                0.76934,                0.47289,                 1.1784,                 1.0763,                 1.0918,              0.0018005,              0.0018005,              0.0018005
                      4,                 1.1859,                0.69058,                  1.091,                0.77298,                0.97025,                 0.8087,                0.50467,                 1.1624,                 1.0386,                 1.0765,               0.001703,               0.001703,               0.001703
                      5,                 1.1759,                0.65635,                  1.083,                0.77689,                0.96873,                0.78014,                0.49891,                 1.1446,                 1.0374,                 1.0656,               0.001703,               0.001703,               0.001703
                      6,                  1.152,                0.62651,                 1.0734,                0.77825,                0.97178,                0.77878,                0.49625,                 1.1664,                 1.0961,                  1.064,               0.001604,               0.001604,               0.001604
                      7,                 1.1405,                   0.61,                 1.0719,                0.78015,                0.95821,                0.85093,                0.55313,                 1.1084,                 1.0481,                 1.0395,               0.001505,               0.001505,               0.001505
                      8,                 1.1213,                0.58392,                 1.0559,                0.77689,                0.98017,                0.84001,                0.55072,                 1.0941,                0.92097,                 1.0454,               0.001406,               0.001406,               0.001406
                      9,                 1.1204,                 0.5836,                 1.0615,                0.77417,                0.97012,                0.88692,                0.57251,                 1.1196,                 0.9609,                 1.0464,               0.001307,               0.001307,               0.001307
                     10,                 1.1038,                0.56872,                 1.0515,                0.77919,                0.97709,                0.78021,                0.51577,                 1.0917,                0.98846,                  1.034,               0.001208,               0.001208,               0.001208
                     11,                 1.0916,                0.53724,                 1.0681,                0.77235,                0.97483,                0.77622,                 0.4975,                 1.1312,                0.99096,                 1.0539,               0.001109,               0.001109,               0.001109
                     12,                 1.0814,                0.52718,                 1.0669,                0.78122,                0.97407,                0.81592,                0.55493,                 1.0974,                0.95842,                 1.0352,                0.00101,                0.00101,                0.00101
                     13,                 1.0742,                0.51425,                 1.0584,                0.77394,                0.98093,                0.78519,                0.53353,                 1.0762,                0.97434,                 1.0331,               0.000911,               0.000911,               0.000911
                     14,                 1.0624,                0.50368,                 1.0562,                0.77657,                0.97828,                0.80117,                0.54821,                 1.0601,                 0.9401,                 1.0238,               0.000812,               0.000812,               0.000812
                     15,                 1.0517,                0.48691,                 1.0483,                0.78193,                0.97407,                 0.8319,                0.57119,                 1.0665,                0.95492,                 1.0235,               0.000713,               0.000713,               0.000713
                     16,                 1.0471,                0.47941,                 1.0444,                0.77818,                0.97402,                0.88584,                0.60991,                 1.0594,                0.90129,                  1.021,               0.000614,               0.000614,               0.000614
                     17,                 1.0385,                0.47211,                 1.0428,                0.77935,                0.97483,                0.82247,                0.56286,                 1.0588,                0.93131,                 1.0267,               0.000515,               0.000515,               0.000515
                     18,                 1.0257,                0.45913,                  1.034,                0.77321,                0.97788,                0.90023,                0.62905,                 1.0408,                0.91156,                 1.0159,               0.000416,               0.000416,               0.000416
                     19,                  1.023,                0.45246,                 1.0312,                0.77686,                0.97728,                0.87801,                0.61173,                 1.0499,                0.90797,                 1.0159,               0.000317,               0.000317,               0.000317
                     20,                 1.0089,                0.44397,                 1.0282,                0.78132,                0.97254,                0.90169,                0.62872,                 1.0361,                0.88344,                 1.0093,               0.000218,               0.000218,               0.000218
